id,timestamp,userId,action,entityType,entityId,entityName,projectId,projectName,field,oldValue,newValue,note
log-1777998779316,2026-05-05T16:32:58.948Z,u1,update,task,_nu21l0i,REQUISITI,_hl734yr,Test progetto,stato,Completato,Completato,
log-1777998765786,2026-05-05T16:32:45.219Z,u1,update,project,_hl734yr,Test progetto,_hl734yr,Test progetto,dataInizio,2026-04-29,2026-04-30,
log-1777998721249,2026-05-05T16:32:00.868Z,u1,update,project,_hl734yr,Test progetto,_hl734yr,Test progetto,dataInizio,2026-04-30,2026-04-29,
log-1777998287793,2026-05-05T16:24:47.447Z,u1,update,project,_hl734yr,Test progetto,_hl734yr,Test progetto,dataInizio,2026-05-15,2026-04-30,
log-1777997338343,2026-05-05T16:08:57.963Z,u1,accept,richiesta,req-1777997320131,ddd,_aggde8o,ddd,,,Accettata,
log-1777997321811,2026-05-05T16:08:41.366Z,u1,create,richiesta,req-1777997320131,ddd,,,,,,dddd
log-1777997225679,2026-05-05T16:07:05.302Z,u1,accept,richiesta,req-1777997207985,trip,_x37bu8h,trip,,,Accettata,
log-1777997209497,2026-05-05T16:06:48.974Z,u1,create,richiesta,req-1777997207985,trip,,,,,,trap
log-1777994866607,2026-05-05T15:27:46.256Z,u1,update,task,_z5j2678,REQUISITI,_mgls32l,Test Giacomo 3,stato,Completato,Completato,
log-1777994863489,2026-05-05T15:27:43.146Z,u1,update,task,_z5j2678,REQUISITI,_mgls32l,Test Giacomo 3,stato,Da fare,Da fare,
log-1777994557980,2026-05-05T15:22:37.532Z,u1,accept,richiesta,req-1777994511183,gggg,_io7jtyz,gggg,,,Accettata,
log-1777994512646,2026-05-05T15:21:52.287Z,u1,create,richiesta,req-1777994511183,gggg,,,,,,gggg
log-1777480128426,2026-04-29T16:28:48.068Z,u1,update,checklist,Documento di progetto,Documento di progetto,p1,Portale HR Digitale,completato,false,true,
log-1777480118373,2026-04-29T16:28:38.019Z,u1,update,checklist,Analisi dei requisiti,Analisi dei requisiti,p1,Portale HR Digitale,completato,false,true,
