id,nome,dataInizio,dataFine,stato,projectId,settimaneStimate,dataInizioPrev,dataFinePrev
t1,REQUISITI,2024-01-15,2020-12-10,Completato,p1,1,,
t2,TEMPI E STIME,2024-04-11,,Da fare,p1,1,,
t3,SVILUPPO,,,Da fare,p1,2,,
t4,COLLAUDO LDT,,,Da fare,p1,1,,
t5,COLLAUDO BU,,,Da fare,p1,1,,
t6,PRODUZIONE,,,Da fare,p1,2,,
t7,ADOPTION,,,Da fare,p1,1,,
t8,REQUISITI,2024-03-01,,In corso,p2,1,,
t9,TEMPI E STIME,,,Da fare,p2,1,,
t10,SVILUPPO,,,Da fare,p2,2,,
t11,COLLAUDO LDT,,,Da fare,p2,1,,
t12,COLLAUDO BU,,,Da fare,p2,1,,
t13,PRODUZIONE,,,Da fare,p2,2,,
t14,ADOPTION,,,Da fare,p2,1,,
_juq3ezf,REQUISITI,2026-04-28,2026-04-30,Completato,_7xqb4fk,1,,
_mcnx4d7,TEMPI E STIME,2026-05-01,,Da fare,_7xqb4fk,1,,
_25m0ncz,SVILUPPO,,,Da fare,_7xqb4fk,2,,
_tyxhvfe,COLLAUDO LDT,,,Da fare,_7xqb4fk,1,,
_rjw1v6z,COLLAUDO BU,,,Da fare,_7xqb4fk,1,,
_pdk2bg8,PRODUZIONE,,,Da fare,_7xqb4fk,2,,
_zv4hvzd,ADOPTION,,,Da fare,_7xqb4fk,1,,
_z5j2678,REQUISITI,2026-04-28,,Da fare,_mgls32l,1,,
_r0gqlxw,TEMPI E STIME,,,Da fare,_mgls32l,1,,
_hwyjplp,SVILUPPO,,,Da fare,_mgls32l,2,,
_irhhf6y,COLLAUDO LDT,,,Da fare,_mgls32l,1,,
_ar0m20x,COLLAUDO BU,,,Da fare,_mgls32l,1,,
_5zomlls,PRODUZIONE,,,Da fare,_mgls32l,2,,
_ae18f4p,ADOPTION,,,Da fare,_mgls32l,1,,
_d9y9z2f,REQUISITI,2026-05-08,,Da fare,_0c5ba45,1,2026-05-07,2026-05-13
_25fwcvr,TEMPI E STIME,,,Da fare,_0c5ba45,1,2026-05-14,2026-05-20
_i0n15cp,SVILUPPO,,,Da fare,_0c5ba45,1,2026-05-21,2026-05-27
_bsuk8i2,COLLAUDO LDT,,,Da fare,_0c5ba45,1,2026-05-28,2026-06-03
_jgonyvf,COLLAUDO BU,,,Da fare,_0c5ba45,1,2026-06-04,2026-06-10
_e413fra,PRODUZIONE,,,Da fare,_0c5ba45,1,2026-06-11,2026-06-17
_0yf36kc,ADOPTION,,,Da fare,_0c5ba45,1,2026-06-18,2026-06-24
